0.00;0.00
48.70;400.00;400.00
48.80;400.00;400.00
48.90;400.00;400.00
49.00;400.00;400.00
49.10;400.00;400.00
49.20;400.00;400.00
49.30;400.00;400.00
49.40;400.00;400.00
49.50;400.00;400.00
49.60;400.00;400.00
49.70;400.00;400.00
49.80;400.00;400.00
49.90;400.00;400.00
50.00;400.00;400.00
50.10;400.00;400.00
50.20;400.00;400.00
50.30;400.00;400.00
50.40;400.00;400.00
50.50;400.00;400.00
50.60;400.00;400.00
50.70;400.00;400.00
50.80;400.00;400.00
50.90;400.00;400.00
51.00;400.00;400.00
51.10;400.00;400.00
51.20;400.00;400.00
51.30;400.00;400.00
51.40;400.00;400.00
51.50;400.00;400.00
51.60;400.00;400.00
51.70;400.00;400.00
51.80;400.00;400.00
51.90;400.00;400.00
52.00;400.00;400.00
52.10;400.00;400.00
52.20;400.00;400.00
52.30;400.00;400.00
52.40;400.00;400.00
52.50;400.00;400.00
52.60;400.00;400.00
52.70;400.00;400.00
52.80;400.00;400.00
52.90;400.00;400.00
53.00;400.00;400.00
53.10;400.00;400.00
53.20;400.00;400.00
53.30;400.00;400.00
53.40;400.00;400.00
53.50;400.00;400.00
53.60;400.00;400.00
53.70;400.00;400.00
53.80;400.00;400.00
53.90;400.00;400.00
54.00;400.00;400.00
54.10;400.00;400.00
54.20;400.00;400.00
54.30;400.00;400.00
54.40;400.00;400.00
54.50;400.00;400.00
54.60;400.00;400.00
54.70;400.00;400.00
54.80;400.00;400.00
54.90;400.00;400.00
55.00;400.00;400.00
55.10;400.00;400.00
55.20;400.00;400.00
55.30;400.00;400.00
55.40;400.00;400.00
55.50;400.00;400.00
55.60;400.00;400.00
55.70;400.00;400.00
55.80;400.00;400.00
55.90;400.00;400.00
56.00;400.00;400.00
56.10;400.00;400.00
56.20;400.00;400.00
56.30;400.00;400.00
56.40;400.00;400.00
56.50;400.00;400.00
56.60;400.00;400.00
56.70;400.00;400.00
56.80;400.00;400.00
56.90;400.00;400.00
57.00;400.00;400.00
57.10;400.00;400.00
57.20;400.00;400.00
57.30;400.00;400.00
57.40;400.00;400.00
57.50;400.00;400.00
57.60;400.00;400.00
57.70;400.00;400.00
57.80;400.00;400.00
57.90;400.00;400.00
58.00;400.00;400.00
58.10;400.00;400.00
58.20;400.00;400.00
58.30;400.00;400.00
58.40;400.00;400.00
58.50;400.00;400.00
58.60;400.00;400.00
58.70;400.00;400.00
58.80;400.00;400.00
58.90;400.00;400.00
59.00;400.00;400.00
59.10;400.00;400.00
59.20;400.00;400.00
59.30;400.00;400.00
59.40;400.00;400.00
59.50;400.00;400.00
59.60;400.00;400.00
59.70;400.00;400.00
59.80;400.00;400.00
59.90;400.00;400.00
60.00;400.00;400.00
60.10;400.00;400.00
60.20;400.00;400.00
60.30;400.00;400.00
60.40;400.00;400.00
60.50;400.00;400.00
60.60;400.00;400.00
60.70;400.00;400.00
60.80;400.00;400.00
60.90;400.00;400.00
61.00;400.00;400.00
61.10;400.00;400.00
61.20;400.00;400.00
61.30;400.00;400.00
61.40;400.00;400.00
61.50;400.00;400.00
61.60;400.00;400.00
61.70;400.00;400.00
61.80;400.00;400.00
61.90;400.00;400.00
62.00;400.00;400.00
62.10;400.00;400.00
62.20;400.00;400.00
62.30;400.00;400.00
62.40;400.00;400.00
62.50;400.00;400.00
62.60;400.00;400.00
62.70;400.00;400.00
62.80;400.00;400.00
62.90;400.00;400.00
63.00;400.00;400.00
63.10;400.00;400.00
63.20;400.00;400.00
63.30;400.00;400.00
63.40;400.00;400.00
63.50;400.00;400.00
63.60;400.00;400.00
63.70;400.00;400.00
63.80;400.00;400.00
63.90;400.00;400.00
64.00;400.00;400.00
64.10;400.00;400.00
64.20;400.00;400.00
64.30;400.00;400.00
64.40;400.00;400.00
64.50;400.00;400.00
64.60;400.00;400.00
64.70;400.00;400.00
64.80;400.00;400.00
64.90;400.00;400.00
65.00;400.00;400.00
65.10;400.00;400.00
65.20;400.00;400.00
65.30;400.00;400.00
65.40;400.00;400.00
65.50;400.00;400.00
65.60;400.00;400.00
65.70;400.00;400.00
65.80;400.00;400.00
65.90;400.00;400.00
66.00;400.00;400.00
66.10;400.00;400.00
66.20;400.00;400.00
66.30;400.00;400.00
66.40;400.00;400.00
66.50;400.00;400.00
66.60;400.00;400.00
66.70;400.00;400.00
66.80;400.00;400.00
66.90;400.00;400.00
67.00;400.00;400.00
67.10;400.00;400.00
67.20;400.00;400.00
67.30;400.00;400.00
67.40;400.00;400.00
67.50;400.00;400.00
67.60;400.00;400.00
67.70;400.00;400.00
67.80;400.00;400.00
67.90;400.00;400.00
68.00;400.00;400.00
68.10;400.00;400.00
68.20;400.00;400.00
68.30;400.00;400.00
68.40;400.00;400.00
68.50;400.00;400.00
68.60;400.00;400.00
68.70;400.00;400.00
68.80;400.00;400.00
68.90;400.00;400.00
69.00;400.00;400.00
69.10;400.00;400.00
69.20;400.00;400.00
69.30;400.00;400.00
69.40;400.00;400.00
69.50;400.00;400.00
69.60;400.00;400.00
69.70;400.00;400.00
69.80;400.00;400.00
69.90;400.00;400.00
70.00;400.00;400.00
70.10;400.00;400.00
70.20;400.00;400.00
70.30;400.00;400.00
70.40;400.00;400.00
70.50;400.00;400.00
70.60;400.00;400.00
70.70;400.00;400.00
70.80;400.00;400.00
70.90;400.00;400.00
71.00;400.00;400.00
71.10;400.00;400.00
71.20;400.00;400.00
71.30;400.00;400.00
71.40;400.00;400.00
71.50;400.00;400.00
71.60;400.00;400.00
71.70;400.00;400.00
71.80;400.00;400.00
71.90;400.00;400.00
72.00;400.00;400.00
72.10;400.00;400.00
72.20;400.00;400.00
72.30;400.00;400.00
72.40;400.00;400.00
72.50;400.00;400.00
72.60;400.00;400.00
72.70;400.00;400.00
72.80;400.00;400.00
72.90;400.00;400.00
73.00;400.00;400.00
73.10;400.00;400.00
